,fecha,cuentas_que_han_realizado_al_menos_un_pago,cuentas_que_han_realizado_al_menos_un_cobro
476,2021-08-04,600088.0,516159.0
477,2021-08-05,600961.0,516826.0
478,2021-08-06,601889.0,517477.0
479,2021-08-07,602629.0,518030.0
480,2021-08-08,603561.0,518693.0
481,2021-08-09,604105.0,519078.0
482,2021-08-10,605000.0,519695.0
483,2021-08-11,605886.0,520329.0
484,2021-08-12,606985.0,521090.0
485,2021-08-13,608376.0,522045.0
486,2021-08-14,609454.0,522797.0
487,2021-08-15,610267.0,523360.0
488,2021-08-16,611243.0,524016.0
489,2021-08-17,612244.0,524683.0
490,2021-08-18,613204.0,525347.0
491,2021-08-19,614243.0,526075.0
492,2021-08-20,615374.0,526887.0
493,2021-08-21,616196.0,527450.0
494,2021-08-22,616681.0,527665.0
495,2021-08-23,617643.0,528300.0
496,2021-08-24,618594.0,528956.0
497,2021-08-25,619587.0,529646.0
498,2021-08-26,620522.0,530338.0
499,2021-08-27,621685.0,531182.0
500,2021-08-28,622626.0,531866.0
501,2021-08-29,623445.0,532430.0
502,2021-08-30,624525.0,533173.0
503,2021-08-31,625658.0,533801.0
504,2021-09-01,626862.0,534556.0
505,2021-09-02,628078.0,535426.0
506,2021-09-03,629463.0,536307.0
507,2021-09-04,630634.0,537052.0
508,2021-09-05,631417.0,537267.0
509,2021-09-06,632455.0,538286.0
510,2021-09-07,633423.0,538914.0
511,2021-09-08,634525.0,539593.0
512,2021-09-09,635706.0,540360.0
513,2021-09-10,637005.0,541198.0
514,2021-09-11,638082.0,541889.0
515,2021-09-12,638556.0,542220.0
516,2021-09-13,639723.0,542931.0
517,2021-09-14,640997.0,543762.0
518,2021-09-15,642482.0,544691.0
519,2021-09-16,643466.0,545332.0
520,2021-09-17,644721.0,546154.0
521,2021-09-18,645889.0,546937.0
522,2021-09-19,646797.0,547571.0
523,2021-09-20,647915.0,548250.0
524,2021-09-21,649010.0,548938.0
525,2021-09-22,650193.0,549641.0
526,2021-09-23,651408.0,550358.0
527,2021-09-24,652732.0,551206.0
528,2021-09-25,653839.0,551874.0
529,2021-09-26,654620.0,552344.0
530,2021-09-27,655636.0,552964.0
531,2021-09-28,656748.0,553591.0
532,2021-09-29,657947.0,554313.0
533,2021-09-30,659438.0,555195.0
534,2021-10-01,661012.0,556028.0
535,2021-10-02,662073.0,556630.0
536,2021-10-03,662825.0,557050.0
537,2021-10-04,663773.0,557561.0
538,2021-10-05,664871.0,558138.0
539,2021-10-06,665936.0,558649.0
540,2021-10-07,667063.0,559247.0
541,2021-10-08,668404.0,560037.0
542,2021-10-09,669557.0,560750.0
543,2021-10-10,670316.0,561258.0
544,2021-10-11,671443.0,561842.0
545,2021-10-12,672590.0,562457.0
546,2021-10-13,673841.0,563144.0
547,2021-10-14,675250.0,564002.0
548,2021-10-15,676861.0,564872.0
549,2021-10-16,678183.0,565701.0
550,2021-10-17,679189.0,566266.0
551,2021-10-18,680384.0,566942.0
552,2021-10-19,681554.0,567579.0
553,2021-10-20,682601.0,568197.0
554,2021-10-21,683785.0,568902.0
555,2021-10-22,685143.0,569703.0
556,2021-10-23,686246.0,570339.0
557,2021-10-24,687144.0,570866.0
558,2021-10-25,688215.0,571523.0
559,2021-10-26,689340.0,572189.0
560,2021-10-27,690524.0,572880.0
561,2021-10-28,691862.0,573685.0
562,2021-10-29,693499.0,574633.0
563,2021-10-30,694915.0,575410.0
564,2021-10-31,695949.0,575975.0
565,2021-11-01,697080.0,576674.0
566,2021-11-02,698130.0,577246.0
567,2021-11-03,699417.0,577911.0
568,2021-11-04,700698.0,578620.0
569,2021-11-05,701959.0,579386.0
570,2021-11-06,703011.0,580016.0
571,2021-11-07,703802.0,580444.0
572,2021-11-08,704816.0,581021.0
573,2021-11-09,705904.0,581699.0
574,2021-11-10,707085.0,582417.0
575,2021-11-11,708304.0,583152.0
576,2021-11-12,709710.0,583915.0
577,2021-11-13,711070.0,584690.0
578,2021-11-14,712082.0,585288.0
579,2021-11-15,713067.0,585830.0
580,2021-11-16,714192.0,586483.0
581,2021-11-17,715294.0,587121.0
582,2021-11-18,716464.0,587824.0
583,2021-11-19,717779.0,588613.0
584,2021-11-20,718883.0,589246.0
585,2021-11-21,719691.0,589719.0
586,2021-11-22,720616.0,590272.0
587,2021-11-23,721597.0,590862.0
588,2021-11-24,722709.0,591528.0
589,2021-11-25,723903.0,592199.0
590,2021-11-26,725302.0,592992.0
591,2021-11-27,726407.0,593599.0
592,2021-11-28,727292.0,594075.0
593,2021-11-29,728487.0,594759.0
594,2021-11-30,729912.0,595554.0
595,2021-12-01,731254.0,596255.0
596,2021-12-02,732669.0,597144.0
597,2021-12-03,734203.0,597987.0
598,2021-12-04,736679.0,598685.0
599,2021-12-05,737528.0,599183.0
600,2021-12-06,738754.0,599858.0
601,2021-12-07,739977.0,600563.0
602,2021-12-08,741269.0,601314.0
603,2021-12-09,742628.0,602101.0
604,2021-12-10,744117.0,602938.0
605,2021-12-11,745308.0,603612.0
606,2021-12-12,746173.0,604176.0
607,2021-12-13,747375.0,604803.0
608,2021-12-14,748802.0,605537.0
609,2021-12-15,750360.0,606428.0
610,2021-12-16,751793.0,607173.0
611,2021-12-17,753347.0,607979.0
612,2021-12-18,754641.0,608734.0
613,2021-12-19,755726.0,609291.0
614,2021-12-20,757045.0,609955.0
615,2021-12-21,758426.0,610650.0
616,2021-12-22,759711.0,611352.0
617,2021-12-23,761049.0,612106.0
618,2021-12-24,762236.0,612680.0
619,2021-12-25,762867.0,613037.0
620,2021-12-26,763639.0,613443.0
621,2021-12-27,764738.0,613933.0
622,2021-12-28,765842.0,614471.0
623,2021-12-29,767038.0,615104.0
624,2021-12-30,768446.0,615782.0
625,2021-12-31,769734.0,616361.0
626,2022-01-01,770375.0,616690.0
627,2022-01-02,771238.0,617093.0
628,2022-01-03,772429.0,617618.0
629,2022-01-04,773481.0,618197.0
630,2022-01-05,774727.0,618836.0
631,2022-01-06,775951.0,619500.0
632,2022-01-07,777227.0,620159.0
633,2022-01-08,778205.0,620627.0
634,2022-01-09,778979.0,620979.0
635,2022-01-10,779958.0,621468.0
636,2022-01-11,780899.0,621959.0
637,2022-01-12,781817.0,622442.0
638,2022-01-13,782928.0,622990.0
639,2022-01-14,784127.0,623597.0
640,2022-01-15,785226.0,624135.0
641,2022-01-16,785974.0,624532.0
642,2022-01-17,786938.0,624966.0
643,2022-01-18,787881.0,625416.0
644,2022-01-19,788851.0,625858.0
645,2022-01-20,789881.0,626391.0
646,2022-01-21,791102.0,627013.0
647,2022-01-22,792004.0,627496.0
648,2022-01-23,792770.0,627845.0
649,2022-01-24,793755.0,628324.0
650,2022-01-25,794816.0,628846.0
651,2022-01-26,795857.0,629332.0
652,2022-01-27,796927.0,629875.0
653,2022-01-28,798361.0,630590.0
654,2022-01-29,799389.0,631120.0
655,2022-01-30,800208.0,631497.0
656,2022-01-31,801374.0,632049.0
657,2022-02-01,802446.0,632593.0
658,2022-02-02,803427.0,633082.0
659,2022-02-03,804522.0,633660.0
660,2022-02-04,805786.0,634366.0
661,2022-02-05,806767.0,634825.0
662,2022-02-06,807515.0,635201.0
663,2022-02-07,808314.0,635591.0
664,2022-02-08,809288.0,636028.0
665,2022-02-09,810289.0,636506.0
666,2022-02-10,811373.0,637090.0
667,2022-02-11,813833.0,638322.0
668,2022-02-12,813833.0,638322.0
669,2022-02-13,814747.0,638781.0
670,2022-02-14,815925.0,639430.0
671,2022-02-15,817183.0,640042.0
672,2022-02-16,818474.0,640669.0
673,2022-02-17,819675.0,641273.0
